¦Är,?¦Ö,VEC,delta H,?S,¦¸,¦«,¦Ã parameter,D.¦Ö,e1/a,e2/a,Ec,¦Ç,D.r,A,F,W,G,¦ÄG,D.G,¦Ì,Hardness
0.034681097,0.13145319,7.945858,-4.4848943,14.083927,-8628.412,53206.42,1.1449417,0.14060403,2.0053792,2.1924305,405.62646,-0.036362585,7.223821,4.2348843,190.36441,11804.918,66.561386,0.3553436,12.596728,3.9360213,378.46887
0.035688642,0.13132316,7.894346,-6.608708,14.126641,-9824.202,39100.13,1.143519,0.13991168,1.9628129,1.7710555,406.5299,-0.043401536,7.0580573,4.2875237,201.30435,10888.781,60.394962,0.31183526,16.169552,4.0801525,368.73868
0.035614166,0.13183476,6.964917,-6.5129247,14.267169,6367.859,37800.207,1.1430674,0.13814233,2.026912,1.821322,408.55588,-0.039338734,6.6975975,4.420583,198.69656,11121.083,59.86035,0.31558686,17.90597,4.090112,436.13544
0.057207245,0.13264914,8.206319,-13.301064,13.749243,14164.848,-8183.5034,1.1404059,0.13852383,2.05371,1.7700628,406.9685,-0.07028157,6.6742067,6.83005,205.04414,12263.202,72.11701,0.30314097,22.54998,4.0922656,722.5446
0.036178343,0.13089047,7.345729,-8.119846,14.214493,4622.607,31258.35,1.1421944,0.13860908,2.0029829,1.7486577,409.21423,-0.040821392,6.3874187,4.706732,197.95378,10995.662,59.46562,0.30109093,17.946165,4.2579346,480.2637
0.03628644,0.13010702,7.8567495,-9.616181,13.905922,-991.4475,5580.9766,1.1387537,0.13914873,1.9633445,1.7786782,410.143,-0.045785118,5.7977405,4.8960776,198.88559,11232.735,56.21711,0.29228577,17.451008,4.2757316,514.2232
0.0444532,0.13131596,7.4263086,-9.670271,14.154139,9922.529,12686.974,1.1443257,0.139225,2.0176988,1.4496702,408.96198,-0.053015333,6.457442,6.055313,200.28632,10425.618,61.94424,0.3465337,19.770117,4.445973,534.40405
0.023612224,0.1326914,6.4976325,1.2111188,14.172106,1412.7004,85496.55,1.133327,0.13475265,1.9322965,2.0945306,409.46588,-0.012842331,7.6836243,2.5889297,192.2002,10600.036,62.87824,0.32346314,13.057006,3.4832058,30.776423
0.059877858,0.1331955,8.220565,-14.302968,13.717916,9947.136,-19092.588,1.1374862,0.14008625,2.0705757,1.9933803,408.09277,-0.074909054,6.93464,7.168897,212.14749,12512.099,69.75526,0.325493,24.183353,4.474204,800.78955
0.046287946,0.12845181,8.8688135,-11.777195,14.39553,15111.748,-15108.524,1.1398267,0.14134683,2.09456,2.073103,411.50302,-0.065838836,5.2461634,6.7478266,217.04626,12027.223,51.465843,0.28008214,23.244617,4.6806226,744.4986
0.04831697,0.1318445,8.075983,-9.80544,14.025917,8494.903,20877.873,1.1470252,0.14025798,2.0551732,1.7047275,405.75812,-0.059117403,6.8893514,5.9397984,202.88477,10509.016,68.54733,0.34816703,19.821306,4.307998,560.3785
0.05425008,0.13331082,7.8461013,-11.703978,13.818866,-3170.6802,-12019.447,1.1428882,0.14059868,2.0802014,1.7441032,404.14462,-0.067247964,6.5933876,6.642749,207.8597,10723.574,70.68941,0.3202606,21.838757,4.3173704,666.8795
0.044252656,0.13130823,7.4986405,-9.272087,14.18186,9691.505,10537.366,1.1426483,0.13951468,1.9876925,1.6073273,408.22525,-0.05213728,6.5717144,6.0257215,201.61993,11193.247,63.597046,0.3281138,19.859962,4.3846397,538.2826
0.041871075,0.1306442,8.127344,-9.072523,14.096583,8469.06,279.19208,1.136286,0.139609,2.0585017,1.8661017,410.44733,-0.050818916,5.909793,5.5663033,208.3605,11397.673,56.406242,0.33719164,19.971594,4.3607836,593.64844
0.02209113,0.13175347,6.8869963,-1.583385,14.037274,-6436.046,61327.457,1.1373832,0.13952985,1.9203117,2.1547515,405.46158,-0.017661398,7.4968333,3.0703654,184.20073,11335.495,58.35956,0.35046571,11.475844,3.8832552,212.91933
0.057117645,0.13576144,8.859807,-14.648029,14.08157,1641.586,-2021.8531,1.15026,0.1412986,2.2055206,2.131936,404.92538,-0.073564954,7.49569,7.2840056,219.5598,13350.594,73.46723,0.36938572,24.214857,4.336097,831.36017
0.03450787,0.1250523,7.802723,-4.5421524,13.772287,-13470.376,43920.598,1.133346,0.1392888,1.9552008,1.8740952,390.05753,-0.036490507,6.3304987,3.5651844,196.07884,10264.847,68.927795,0.2962028,11.103156,3.4371388,297.25696
0.03593764,0.13197704,7.611357,-4.8797364,14.20303,8300.477,50048.184,1.1463907,0.13992088,2.0219781,2.003058,410.0987,-0.03833833,7.111142,5.113096,194.59874,11355.439,63.97919,0.35775265,16.253935,4.2322574,332.2949
0.04521675,0.1325121,7.141675,-10.7925005,14.021947,2532.0222,11267.862,1.1420894,0.13944425,2.0350533,1.3546649,409.9981,-0.054912746,6.6694984,6.168599,199.49947,9869.604,58.47863,0.361118,20.65613,4.465954,610.75354
0.04979206,0.1322221,7.8632965,-11.797819,13.588959,413.26544,9349.33,1.1401602,0.14061049,2.0509677,1.3520234,404.1611,-0.0598735,6.303587,6.142794,205.90723,10761.583,68.62021,0.3172085,19.921587,4.027041,633.17645
0.05350596,0.13347371,7.58271,-11.404214,13.551347,11973.95,-2571.5518,1.1380159,0.14053743,2.08952,1.4704608,405.39578,-0.06156704,6.686651,6.7216325,203.65042,10577.531,70.60578,0.36108536,21.391563,4.249674,689.0538
0.050595004,0.13202332,8.829323,-11.868414,14.278372,24552.23,-24682.217,1.1478689,0.14011012,2.069468,1.855441,410.62366,-0.065636784,6.4671416,6.613569,210.80519,11740.003,68.64456,0.26633403,22.752064,4.530804,704.5493
0.06122616,0.1324575,8.460417,-14.026161,13.915419,14580.436,-9056.4795,1.1409222,0.14002699,2.0971334,1.8430308,407.6924,-0.077681206,6.728661,7.0849385,210.20573,12978.567,74.386246,0.3147067,23.652782,4.4345946,763.514
0.045692787,0.13124321,7.2074695,-9.662401,14.090851,8605.246,5957.1987,1.1392946,0.13937199,1.9655883,1.4035422,406.97287,-0.052944295,6.6427155,6.1545234,200.9334,9986.063,61.20738,0.33066106,20.312412,4.444253,553.30286
0.063149035,0.1334348,9.04757,-13.548916,14.596669,12290.617,50.757065,1.1490207,0.13983184,2.2624755,2.2793584,408.66187,-0.079680204,6.719419,7.3721395,213.1112,13689.921,77.17348,0.3729744,24.415777,4.2821407,782.2214
0.05716676,0.13504964,7.924153,-13.634368,13.536384,7325.63,-23531.834,1.1433885,0.13834012,2.0165415,1.6922357,410.20035,-0.069681875,7.299367,7.100947,204.849,11406.593,66.80363,0.31339967,23.918913,4.5286884,771.0833
0.044412687,0.13189204,7.9123554,-10.637108,14.245607,13556.124,14534.402,1.1490638,0.13868454,2.021012,1.5298725,409.32883,-0.05147847,6.3962393,6.316898,202.91615,11617.165,68.09895,0.33089617,19.835974,4.403168,531.11115
0.049250174,0.13131724,8.581049,-7.2823267,13.932085,7233.409,23232.736,1.1446255,0.13982989,2.0927634,2.011107,406.0429,-0.05988323,6.5362945,5.473837,203.68962,11246.765,73.10784,0.31818047,19.306404,3.8036275,564.59357
0.0436801,0.13058566,7.991574,-12.087848,14.062765,3780.5728,-1129.3229,1.1444207,0.13899355,1.9455193,1.6964426,409.32938,-0.05695685,5.7387376,6.6899204,201.60635,11866.192,65.20082,0.3004543,20.536942,4.469952,614.2978
0.06272459,0.13263246,8.84979,-14.3427305,13.904877,19890.791,-6898.952,1.1369275,0.1397823,2.1299496,2.0189207,407.96646,-0.07959879,6.72105,7.2262173,202.08037,13557.64,76.29906,0.33066043,23.932419,4.5690174,768.14496
0.052290052,0.13509284,9.080904,-12.741407,14.089138,-14718.432,4471.2407,1.138427,0.14289993,2.2134695,2.6994164,383.00443,-0.075159885,7.339819,7.2495112,222.0397,12945.08,67.64152,0.3626986,24.902004,4.5655723,842.3038
0.04236301,0.13163595,7.316787,-9.718651,13.976382,6710.285,10624.477,1.1397424,0.13867964,1.9563999,1.4755714,407.63275,-0.052980997,6.705728,5.9490705,199.61943,10428.432,61.19353,0.31808388,20.289268,4.3946843,542.6544
0.03985077,0.1307814,8.189003,-3.0148547,13.87856,2553.633,56566.293,1.1412281,0.13907492,1.9882493,2.3503091,400.8723,-0.029946327,6.7593093,4.179704,204.44492,12113.387,74.17352,0.2639205,15.055478,3.120027,316.90497
0.048084673,0.13064642,8.610476,-12.4128475,14.174711,20464.633,-18775.543,1.1474026,0.139323,2.0373573,1.5663588,411.69678,-0.06034002,5.5249205,6.4613395,211.16112,12141.958,63.62063,0.30713698,21.213106,4.473398,666.19495
0.046416827,0.13175295,7.168005,-10.290186,13.987251,6073.095,11413.339,1.1395197,0.13929226,1.9921459,1.2942842,406.74182,-0.051447432,6.748768,6.061647,200.75995,9522.821,61.458275,0.34342292,19.9797,4.3985806,558.8872
0.037555456,0.13116866,7.747043,-6.518578,13.909151,-5070.9556,48736.125,1.1394612,0.14034294,1.9548987,1.9900247,404.06134,-0.039160416,7.0501842,4.943263,192.95299,11340.814,65.59544,0.32810006,14.79891,4.034039,412.97333
0.051361654,0.13183346,7.8686795,-11.154304,13.650696,2338.7837,835.1236,1.141545,0.1395357,2.0462186,1.3583902,402.2965,-0.06407244,6.6263123,6.3765473,201.69498,9461.442,68.32787,0.3478076,20.85848,4.333665,632.32605
0.05055542,0.13322946,7.7393756,-10.788279,13.702484,6101.0283,1885.4327,1.1428044,0.14122592,2.0095391,1.4324263,407.9099,-0.06509895,7.251302,6.4530306,203.13045,10208.953,66.18159,0.35570192,21.968554,4.4822536,638.76526
0.03288364,0.12898801,8.081567,-7.3153157,13.8107395,-125.11948,6987.5234,1.136385,0.1346182,2.0702598,1.499026,408.66122,-0.037910003,6.05865,3.1912801,200.09637,9410.389,57.807976,0.30510494,15.081592,3.8582075,380.63336
0.03696573,0.1305505,7.634284,-4.0032315,14.122481,1913.6438,55870.207,1.1420151,0.13985154,1.9794513,2.2765412,406.36804,-0.035552733,6.928325,4.6892653,195.89857,11736.109,66.76092,0.32087317,15.417043,3.7792645,359.84415
0.059103124,0.13304713,8.457663,-12.211112,13.708411,-542.44714,-17696.594,1.1434351,0.14095253,2.1180975,1.9527471,408.35608,-0.070655145,6.2734466,6.884724,209.32027,12488.405,75.06051,0.31727585,21.32939,4.017808,680.8567
